,student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
count,1000,1000.0,1000,1000.0,1000.0,1000.0,1000,1000.0,1000.0,1000,1000.0,909,1000,1000.0,1000,1000.0
unique,1000,,3,,,,2,,,3,,3,3,,2,
top,S1000,,Female,,,,No,,,Fair,,High School,Good,,No,
freq,1,,481,,,,785,,,437,,392,447,,682,
mean,,20.498,,3.5501000000000005,2.5055,1.8197,,84.1317,6.4701,,3.042,,,5.438,,69.6015
std,,2.308099504640847,,1.4688899303990164,1.172422417187732,1.0751175692861632,,9.399246296429355,1.2263767732593396,,2.025423002322808,,,2.847501407245353,,16.888563921818257
min,,17.0,,0.0,0.0,0.0,,56.0,3.2,,0.0,,,1.0,,18.4
25%,,18.75,,2.6,1.7,1.0,,78.0,5.6,,1.0,,,3.0,,58.475
50%,,20.0,,3.5,2.5,1.8,,84.4,6.5,,3.0,,,5.0,,70.5
75%,,23.0,,4.5,3.3,2.525,,91.025,7.3,,5.0,,,8.0,,81.325
max,,24.0,,8.3,7.2,5.4,,100.0,10.0,,6.0,,,10.0,,100.0
